name;protein;fats;carbohydrate;calorie
Творог «Савушкин» 101 зерно + сливки, зерненый, малина, 5%, 130 г;10.6;5;56;224
Творог «Савушкин» 101 зерно + сливки, зерненый, черника, 5%, 130 г;10.6;5;2.8;98.6
Творог «Савушкин» 101 зерно, сливки, зерненый, клубника, 5%, 125 г;10.6;5;2.8;224
Творог «Савушкин» 101 зерно + сливки, зерненый, 5%, 350 г;10.6;5;2.8;98.6
Йогурт питьевой «Оптималь» клубника, малина, 2%, 415 г;2.9;2;12.3;78.8
Йогурт питьевой «Оптималь» чернослив и злаки, 2%, 415 г;2.9;2;12.3;78.8
Йогуртный продукт «Fruttis» клубника-земляника, 2.5%, 165+15 г;2.5;2.5;15.7;96
Творог «Савушкин» 101 зерно + сливки, зерненый, 5%,130 г;10.6;5;2.8;98.6
Сыр мягкий «Беловежские сыры» Белая Фета, 40%, 250 г;13.6;12;5.5;184.4
Творожный десерт «Молочный Гостинец» взбитый, малина-гаранат, 7%, 125 г;7.1;7;12.9;143
Сыр «Савушкин» Брест-Литовск классический, 45%, 1 кг;26.3;26.1;340.1;/
Йогурт «Беллакт» клубника 2.6 %, 400 г.;2.6;3.1;12.7;86.6
Манго;0.9;0.1;3;31
Сырок творожный глазированный «А.Ростагрокомплекс» картошка, 20%, 50 г;8.1;23.8;41.6;413
Биокефир «Здравушка» 1 %, 930 мл;2.8;1;4;36
Кефир «Здравушка» 3.2%, 930 мл;2.8;3.2;4;56
Йогуртный напиток «Ehrmann» Эрмигурт, клубника-банан 1.2%, 290 г;2.5;1.2;13.5;75
Йогуртный напиток «Ehrmann» Эрмигурт, лесные ягоды 1.2%, 290 г;2.5;1.2;13.5;75
Йогуртный напиток «Ehrmann» Эрмигурт, персик-маракуйя 1.2%, 290 г;2.2;1.2;13;70
Йогуртный напиток «Ehrmann» Эрмигурт, клубника-киви 1.2%, 290 г;2.2;1.2;13;70
Сыр плавленый «President» ассорти, 45%, 140 г;9;17.5;5;214
Грибное ассорти «Лесные угодья» сушеные, с белыми грибами, 45 г;27;6;31;270
Подосиновики «Лесные угодья» сушеные отборные, 50 г;35;5.5;13;240
Молоко «Здравушка» Отборное, пастеризованное, 3.4%-6%;2.8;4.7;61;84
Мороженое «Юкки» Моя Аленка, сливочное, 65 г;3;18;26;280
Сыр плавленый «Сырный двор» Оршанский плюс, 45%, 80 г;13;22;7;275
Бифидопродукт «Бифидин-Крепыш» малина, 3.2%, 200 г;3.1;3.2;8.7;76
Молоко «Савушкин» ультрапастеризованное, 1.5%;3;1.5;4.7;43.5
Молоко «Савушкин» ультрапастеризованное, 3.1%;3;3.1;4.7;57.9
Мороженое «УП Минский хладокомбинат №2» Каштан, 80 г;3.1;23.9;20.1;307.9
Масло сладкосливочное «Брест-Литовск» несоленое, 82.5%, 180г;0.5;82.5;0.8;747.7
Гранат;0.9;0.1;3;31
Бифидопродукт  «Бифидин-Кроха» со вкусом груши, 3.2%, 200 г;3.1;3.2;8.7;76
Сыр полутвердый «Витебск Молоко» Пошехонский, 45%, 1 кг;25.9;25.2;330;/
Сыр мягкий «Bonfesto» Mozzarella, 45%, 250 г;15.1;17.6;218.8;/
Молочный коктейль «Молочный гостинец» Сладкая жизнь, банан, 2.5%, 210 мл;2.8;2.5;9.7;73
Молочный коктейль «Молочный гостинец» Сладкая жизнь, клубника, 2.5%, 210 мл;2.8;2.5;9.7;73
Молочный коктейль «Молочный гостинец» Сладкая жизнь, ваниль, 2.5%, 210 мл;2.8;2.5;9.7;73
Персик «Парагвай» крупный, 1 кг;0.9;0.2;10.4;44
Мороженое «УП Минский хладокомбинат №2» Эврика, с изюмом, 80 г;3.9;13.2;27.2;243.2
Сыр мягкий «Аристей» Фету, со вкусом оливок, 45%, 250 г;12.4;17.1;200;/
Йогурт «Савушкин» киви и крыжовник, 2%, 120 г;2.9;2;16.2;94.4
Шампиньоны «Грибная Страна» культивируемые, 400 г;4.3;1;0.1;27
Сыр мягкий «Bonfesto» Рикотта, 40 %, 250 г;11.3;10;2.5;145.2
Мороженое «УП Минский хладокомбинат №2» пломбир шоколадный, 80 г;3.2;15;18.5;221.8
Сыр мягкий «Bonfesto» Mozzarella, мини 12 шариков, 45%, 250 г;15.1;17.6;218.8;/
Творог зерненый «Савушкин» Ласковое лето, легкий, лесная ягода, 3%, 130 г;10;3;2.2;75.8
Творог «Савушкин» Легкий, зерненый, вишня, 3%, 130 г;10;3;2.2;96.2
Молоко «Молочный гостинец» ультрапастеризованное, 1.5%;2.8;1.5;4.7;44
Сгущенное молоко «Глубокое» с сахаром 8.5%, 380 г;7.2;8.5;56;330
Сыр мягкий «Bonfesto» Mascarpone, 78 %, 250 г;4.1;40;2.9;388
Сыр плавленый «Ласковое лето» сливочный, 45%, 170 г;12.2;15.6;5.3;210.4
Сыр плавленый «Ласковое лето» ветчина, 45%, 170 г;12.3;15.6;5;209.6
Молоко «Молочный гостинец» ультрапастеризованное, 2.5%;2.8;2.5;4.7;55
Сыр мягкий «Новогрудские дары» Адыгейский классический, 45%, 1 кг;16.5;18;0;228
Сыр мягкий «Bonfesto» Mascarpone, 78 %, 500 г;4.1;40;2.9;388
Коктейль молочный пастеризованный с ароматом «Клубника» 450 г;2.8;1.5;10;62.5
Масло сладкосливочное «Молочное раздолье» несоленое, 75%, 180 г;0.8;75;1.3;670
Мороженое «20 копеек» пломбир шоколадный, 225 г;3.5;15;20;230
Напиток «Свежесть» апельсин, 415 г;0.4;10.9;45.2;/
Напиток «Свежесть» сыворотка с соком тропических фруктов, 415 г;0.4;10.9;45.2;/
Йогурт «Савушкин» Апети, пломбир и хрустящие шарики, 5%, 105 г;2.9;5;14;112.6
Мороженое «УП Минский хладокомбинат №2» Столичное, крем-брюле, 80 г;3.1;15;20.1;310
Сыр мягкий «Аристей» Брынза, 45%, 250 г;13.2;17.1;210;/
Мороженое «Гоша» клубника, банан и киви, 65 г;2.3;5.1;22.2;144
Творог «Молочная страна» Домашний, зерненый, 4%, 400 г;13.5;4;1.7;95
Мороженое «ТОП» крем-брюле с карамелью, 250 г;3;12;26;220
Йогуртный продукт «Fruttis» вишневый пломбир/груша-ваниль, 8.0%, 115 г;2.1;8;16;140
Сыр плавленый «Ласковое лето» курица гриль, 45%, 170 г;15.7;19.3;3.8;251.8
Молоко питьевое «Милкавита» ультрапастеризованное, 2.5 %;2.82;2.5;4.7;52
Сыр полутвердый «Bonfesto» Моцарелла, 40%, 1 кг;26.3;21.3;297;/
Творог «Молочная страна» Домашний, зерненый, 4%, 500 г;13.5;4;1.7;95
Сырок творожный глазированный «Бабушкина крынка» ваниль, 23%, 45 г;7.8;25.7;32.1;390
Сырок творожный глазированный «Бабушкина крынка» сгущенка, 23%, 45 г;7.7;25.8;32.1;390
Маргарин «Золотая капля» Сливочный, 82%, 230 г;0.1;82;1;740
Масло сливочное «Сафийка» Полоцкое, несоленое, 70%, 180 г;1;70;1.5;640
Молоко «Milkavita» Premium, ультрапастеризованное, 1.5 %;2.8;1.5;4.7;44
Молоко «Milkavita» Premium, ультрапастеризованное, 3.2 %;2.8;3.2;4.7;59
Молоко «Милкавита» 3.6%;3;3.6;4.7;63.2
Сырок творожный глазированный «Бабушкина крынка» кокос-ваниль, 23%, 45 г;6.1;29.1;32.3;420
Творог «Савушкин» классический, 9%, 300 г;16;9;1.5;147
Шампиньоны  замороженные «Gusto» резаные, 400 г;4.1;0.3;0.6;20
Кисломолочный напиток «Имунеле» малина, 100 г;2.6;1.5;11.8;71
Йогуртный продукт «Fruttis» Суперэкстра, банана-сплит/пина колада, 8%, 115 г;2.1;8;16.4;146
Сыр твердый «Поставы городок» Голландский премиум, 45%, 150 г;24.8;25.2;326;/
Творожный десерт «Беллакт» масса с ароматом ванили, 23%, 180 г;8;23;27.1;347
Творожный десерт «Беллакт» масса с изюмом, 23%, 180 г;20.8;8;24.4;317
Сыр копченый «Мерецкие» Джил, полутвердый, 50%, 100 г;23;30;362;/
Творог «Беллакт» 6%, 100 г;5;11;1.5;95
Творожный десерт «Беллакт» крем с ванилином, 5%, 200 г;10.2;5;18.7;161
Творожный десерт «Беллакт» пирожное с печеньем и какао, 24%, 75 г;7;24;41.9;411.6
Молочная каша«Беллакт» Полезный завтрак, овсяная, 150 г;3.5;3;12.5;91
Сметана «Сафийка» 26%, 400 г;2.5;26;2.9;256
Сыр плавленый «President» c грибами, 45%, 140 г;9;17.5;3.5;208
Творог «Бабушкина крынка» классический, 10%, 200 г;14.3;10;1.5;153.2
Молочная каша«Беллакт» рисовая 3%, 150 г;3.3;3;13.9;95
Сыр полутвердый «Home Cheese» Моцарелла Gold, 40%, 1 кг;18;18.4;237.6;/
Сыр полутвердый «Чеддер Белорусский» сычужный, 40%, 1 кг;24;21;292;/
Мороженое «Юкки» Коровка, крем-брюле, 65 г;3;21;24;300
Фруктовый лед «УП Минский хладокомбинат №2» Летний, в глазури, 100 г;0.5;12;23.7;200
Фруктовый лед «УП Минский хладокомбинат №2» Пингвин, в глазури, 100 г;0.6;12;22.3;200
Молочный коктель «Parmalat» с кофе и какао, капучино, 1.5%, 250 мл;3.2;1.9;11.8;80
Мороженое «УП Минский хладокомбинат №2» Семейное, 230 г;3.7;15;19.8;230
Сырок творожный глазированный «А.Ростагрокомплекс» вареная сгушенка, 26%, 50 г;8.5;27;35;420
Сыр плавленый «President» сливочный, 45%, 140 г;9;17.5;6;218
Сыр полутвердый «Слуцкий сыродельный комбинат» Тильзитский, 45%, 1 кг;24.8;24.7;322;/
Творог «Растишка» со вкусом клубники и банана, пломбира 3,5%, 270 г;6;3.5;11.7;102
Мороженое «Frudoza» киви и крыжовник, 65 г;1.6;6.7;25.6;169
Йогурт питьевой «Оптималь» киви-злаки 2%, 415 г;2.9;2;12.3;78.8
Масло сладкосливочное «Брест-Литовск» несоленое, 72.5%, 180г;1.3;72.5;0.8;660,9
Мороженое «УП Минский хладокомбинат №2» пломбир ванильный с изюмом, 90 г;4.1;14.5;22.8;240
Мороженое «УП Минский хладокомбинат №2» Семейное с изюмом, 230 г;3.1;13.8;23.6;230
Мороженое «Пломбир» крем-брюле 90 г;4.1;14.4;23.6;240
Мороженое «20 копеек» пломбир классический, 500 г;4;15;19;230
Творожный десерт «Минская марка» клубника, 5%, 400 г;9.1;5;13.8;140
Сливки «Минская марка» пастеризованные, 10%, 500 г;2.8;10;4;120
Йогуртный продукт «Нежный» с соком вишни, 1.2%, 100 г;2.5;1.2;18.1;94
Йогуртный продукт «Нежный» c соком клубники, 1.2%, 100 г;2.5;1.2;18.1;94
Продукт йогуртный «Нежный» с соком персика 1.2 %, 100 г;2.5;1.2;16;85
Черника быстрозамороженная «Мока» 400 г;6;25;/;100
Мороженое «Soletto» сладкая малина, 75 г;3;10;34;240
Сливки «Milkavita» ультрапастеризованные, 10%, 500 г;2.6;10;4.3;120
Сливки «Milkavita» ультрапастеризованные, 20%, 500 г;2.5;20;3.8;210
Апельсин;0.9;0.1;3;31
Мороженое «УП Минский хладокомбинат №2» Семейное крем-брюле, 230 г;3.5;8;19.9;170
Сливки «Milkavita» ультрапастерилизованные, 33%, 1 л;2.2;33;3.2;320
Йогурт «СуперКид» банан-яблоко 2%, 120 г;2.9;2;13.1;80
Йогурт «СуперКид» клубника-ваниль 2%, 120 г;2.9;2;15.2;90.4
Творожный десерт «СуперКид» банан-яблоко, 3.5%, 110 г;6;3.5;13;107.5
Творожный десерт «СуперКид» земляника, 3.5%, 110 г;6;3.5;13;107.5
Сливки «Беллакт» стерилизованные, 10%, 200 г;2.8;10;4;117
Сливки «Беллакт» стерилизованные, 20%, 200 г;2.5;20;3.7;205
Творожный десерт «Беллакт» торт с изюмом с ореховой начинкой, 24%, 200 г;6;17.6;41.4;348
Творожный десерт «Беллакт» торт с маковой начинкой, 24%, 200 г;6.6;20.4;36.9;357,6
Молоко «Бабушкина крынка» ультрапастеризованное, 1.5%;3;1.5;4.7;45
Молоко «Бабушкина крынка» ультрапастеризованное, 2.5%;3;2.5;4.7;55
Молоко «Свежие новости» ультрапастеризованное, 2.8%;2.8;2.8;4.7;55
Молоко «Бабушкина крынка» ультрапастеризованное, 3.2%;3;3.2;4.7;60
Молоко «Свежие новости» ультрапастеризованное, 3.5%;2.8;3.5;4.7;62
Творог «Клецкая крыначка» классический, 9%, 400 г;15;9;1.5;147
Кефир «Бабушкина крынка» 3.2%, 900 мл;3.1;3.2;4;55
Кефир «Свежие новости» 3.6 %,  900 мл;3.1;3.6;4;60
Йогурт «Даниссимо» с хрустящими шариками с ягодным вкусом 6,9%, 105 г;3.1;6.9;12.3;124
Молочный коктейль «Чудо» с шоколадом, 3%, 200 мл;2.8;3;15.9;102
Молоко «Бабушкина крынка» стерилизованное, 3.2%;2.8;3.2;4.7;59
Йогуртный продукт «Нежный» ягодное мороженое, 1.2%, 100 г;2.5;1.2;18;95
Творог «Савушкин» классический, 5%, 300 г;16.5;5;1.5;113
Сыр «Пармезан гранд» 45%, 150 г;23.5;25.7;325;/
Творог «Растишка» с клубникой и абрикосом 3,5%, 270 г;6;3.5;11.7;102
Творог «Растишка» с лесными ягодами, персиком и грушей 3,5%, 270 г;6;3.5;11.7;102
Топленое молоко «Здравушка» 3.2%;3.1;3.2;4.7;60
Сгущенное молоко «Глубокое» с фруктозой 8.5%, 370 г;9;8.5;45;295
Йогуртный продукт «Нежный. Легкий» с соком клубники, 0.1%, 95 г;2.5;0.1;16;75
Йогуртный продукт «Нежный. Легкий» с соком лесных ягод, 0.1%, 95 г;2.5;0.1;16;75
Йогурт «Fruttis» вкусный перерыв, 2.5%, 175 г;2.4;16;95;/
Кефир «Беллакт» обогащённый бифидобактериями, 3.2 %, 207 мл;3;3.2;4;57
Йогуртный напиток «Нежный» с соком абрикоса и манго, 0.1%, 285 г;1.4;0.1;14;60
Йогуртный напиток «Нежный» с соком малины и земляники, 0.1%, 285 г;1.4;0.1;14;60
Йогуртный напиток «Нежный» с соком клубники, 0.1%, 285 г;1.4;0.1;14;60
Козье молоко «КФХ«ДАК» пастеризованное, 3%, 1 л;2.9;3;4.8;58
Желе «Милаком» со вкусом апельсина, 150 г;2.1;10.5;60;/
Желе «Милаком» со вкусом киви, 150 г;2.1;15.5;10.5;60
Желе «Милаком» со вкусом клубники, 150 г;2.1;15.5;60;/
Питьевой йогурт «Растишка» с земляникой 1,6%, 360 г;2.8;1.6;10.6;68
Сырок творожный глазированный «А.Ростагрокомплекс» суфле с ванилью, 15%, 40 г;4.5;20.9;42.7;376.9
Сырок творожный глазированный «А.Ростагрокомплекс» ваниль, 26%, 50 г;8;28;33;420
Йогурт греческий «Teos» 2%, 140 г;7;2;4.2;62.8
Йогурт греческий «Teos» вишня, 2%, 140 г;5.8;11.3;86,4;/364,7
Йогурт греческий «Teos» клубника, 2%, 140 г;5.8;2;11.3;86.4
Йогурт греческий «Teos» черника, 2%, 140 г;5.8;2;11.3;86.4
Творог «Бабушкина крынка» Деревенский, 5%, 220 г;15;5;1.5;111
Крем сливочный «Молочный гостинец» ультрапастеризованный, 33%, 1 кг;2.3;33;3.3;320
Творог «Савушкин» рассыпчатый, 9%, 350 г;15;9;1.5;147
Йогуртный напиток «Нежный» с соком персика, 0.1%, 285 г;1.4;0.1;14;60
Коктейль «Непоседа» банановый с молоком, 200 мл.;1.5;1.5;10;60
Коктель «Непоседа» клубнично-банановый  со сливками, 200 мл;1;4;9;75
Коктейль «Непоседа» яблочный с молоком, 200 мл;1;0.5;9;45
Молоко «Молочный гостинец» ультрапастеризованное, 3.2%;2.8;3.2;4.7;60
Ряженка «Савушкин» 3.2%, 950 г;2.8;3.2;4.1;56.4
Сыр полутвердый «Брест-Литовский» Сливочный, 50%, 150 г;22.5;29.5;355.5;/1474
Молоко «Молочный гостинец» ультрапастеризованное, 6%;2.6;6;4.7;85
Сливки «Молочный гостинец» стерилизованные, 20%, 200 г;2.5;20;3.7;200
Сыр плавленый «Hochland» чизбургер, 45%, 150 г;14.6;26.3;4.3;283
Творог «Свежие новости» Деревенский, 2%, 400 г;15;2;1.2;82.8
Творог «Бабушкина крынка» Деревенский, 5%, 400 г;15;5;1.5;111
Творог «Бабушкина крынка» Деревенский, 9%, 400 г;15;9;1.5;147
Мороженое «Советская классика» пломбир, ваниль, 70 г;3.5;12;27;230
Молоко «Молочный гостинец» ультрапастеризованное, 1,5%;3.1;1.5;4.7;45
Молоко «Молочный гостинец» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Молоко «Молочный гостинец» ультрапастеризованное, 1.5%;3.1;1.5;4.7;45
Молоко «Молочный гостинец» ультрапастеризованное, 2.5%;2.8;2.5;4.7;50
Сырок творожный глазированный «Молочная страна» ваниль, 5%, 45 г;13.4;10;31.6;270
Кефир «Свежие новости» 2.5%, 900 г;2.8;2.5;4;50
Сливки «Поставы городок» пастеризованные, 32%, 500 мл;2.3;32;3.3;310
Сырок творожный глазированный «А.Ростагрокомплекс» ваниль, 5%, 50 г;10.6;11.3;36;288,1
Сырок творожный глазированный «А.Ростагрокомплекс» суфле с ванилью, 15%, 40 г;4.4;19.4;46.8;379.4
Сыр твердый «Эдам Люкс»  45%, 1 кг;23;25;320;/
Кефир «Беллакт» для детского питания, 3.2%, 207 г;3;3.2;4;56.8
Сыр мягкий с плесенью «Vitalat» Camembert, 45%, 125 г;17;18;230;/
Творог «Молочный мир» классический, 1%, 180 г;16.3;1;1.3;79
Сметана «Ляховичок» 20%, 350 г;2.5;20;2.9;201.6
Мороженое «20 копеек» пломбир классический с изюмом, 225 г;3.3;13.3;24.8;232
Сыр твердый «Новогрудские дары» Maasdam Elite, 45%, 1 кг;26;26;340;/
Молоко «Здравушка» пастеризованное, 2%;2.8;2;4.7;50
Персик «Парагвай» 1 кг;0.9;0.2;11.8;53
Простокваша «Славянские традиции» Мечниковская, 4%, 380 г;3.1;4;4;65
Творог «Славянские традиции» классический, 5%, 355 г;17.2;5;1.8;120
Мороженое «Каприз» шоколадный, 95 г;4.5;13.3;38.5;292
Молоко «Молочный гостинец» ультрапастеризованное, 3.2%;2.8;3.2;4.7;60
Творожный десерт «Беллакт» торт трюфель, 200 г;6.6;20.2;40.7;371
Сливки «Milkavita» ультрапастеризованные, 33%, 500 г;2.3;33;3.2;320
Яйца куриные «Молодецкие» Молодецкие, с селеном, ДО;12.7;11.5;0.7;157
Сметана «Минская марка» 15%, 400 г;2.6;15;2.9;160
Яйца перепелиные «Золотые» 20 шт;12.7;11.5;0.7;160
Йогуртный продукт «Нежный» с соком персика, 0.1%, 95 г;2.5;0.1;16;75
Капуста квашеная «Gusto» с тмином и морковью, 800 г;2.2;19;/;79.5
Капуста квашеная «Gusto» с клюквой и морковью, 800 г;2.2;19;/;79.5
Каша молочная «Агуша» Засыпай-ка, рисовая, яблоко/груша, 200 мл;2.7;2.7;10.2;77
Каша молочная «Агуша» Засыпай-ка, гречневая, 200 мл;2.6;2.5;8.4;67
Йогурт греческий «Teos» злаки с клетчаткой льна, 2%, 140 г;5.8;2;11.3;86,4
Йогурт греческий «Teos» 2%, 250 г;7;2;4.2;62.8
Ежевика, 125 г;0.6;0.5;42;39
Йогуртный продукт «Нежный» с соком абрикоса и манго, 1.2%, 320 г;2.5;2.5;17;100
Творог «Молочные горки» 5%, 180 г;15.5;5;1.5;113
Мороженое «УП Минский хладокомбинат №2» Каштан лайм, 80 г;4;24.3;22.4;320
Крем сливочный «Малочны гасцiнец» ультрапастеризованный 33%, 200 г;2.3;33;3.3;320
Сухое молоко «Беллакт» цельное, 26%, 400 г;23.8;26;38.7;492.8
Сыр козий «КФХ Дак» Лизаветинский, в пряно-масляной заливке, 192 г;24.5;25.3;326;/
Творог «Здравушка» 5%, 200 г;15.5;5;1.5;113
Каша молочная «Беллакт» гречневая, 207 г;2.7;2.6;8.3;67
Арбуз «Сахарный малыш» 1 кг;1.2;0.2;3.2;12
Каша молочная «Беллакт» рисовая, 207 г;2.6;2.6;10.8;77
Сыр козий «КФХ Дак» Лизаветинский, 46%, 1 кг;24.5;25.3;326;/
Мороженое «Морозпродукт» дыня-арбуз, 250 г;1.9;5.5;25.1;158
Вишня быстрозамороженная, без косточки, 1 кг;0.9;0.3;11.5;52
Сыр плавленый «Galbani» Моцарелла, 45%, 150 г;12;20;4;244
Йогурт «Савушкин» персик и манго, 2%, 350 г;2.9;2;14.5;87.6
Йогурт «Савушкин» лесная ягода 2%, 350 г;2.9;2;14.5;87.6
Козье молоко «КФХ«ДАК» пастеризованное, 3%, 500 мл;2.9;3;4.8;58
Сухое козье молоко «Беллакт» цельное, 300 г;19.3;3.6;28.2;424-559
Молоко «#Можно» безлактозное, стерилизованное, 3.2%;3;3.2;4.7;60
Мороженое «Гоша» сливочное, со вкусом Бабл Гам, 65 г;2.1;5.1;22.4;144
Йогурт «Савушкин» лесная ягода, 2%, 120 г;2.9;2;14.5;87.6
Йогурт «Савушкин» клубника, 2%, 120 г;2.9;2;14.5;87.6
Йогурт «Савушкин» персик-манго, 2%, 120 г;2.9;2;14.5;87.6
Йогурт «Савушкин» страчателла, 2%, 120 г;2.9;2;15;89.6
Мороженое «УП Минский хладокомбинат №2» пломбир с ароматом ванили, 80 г;3.5;15;19.7;227.8
Творог «Complimilk» 6%, 200г;15;6;1.5;120
Сырок творожный глазированный «Бабушкина крынка» какао-ваниль, 23%, 45 г;7.6;25.8;36.4;410
Сыр мягкий «Bonfesto» Рикотта, 40%, 500 г;8.4;10.3;3.5;140
Творог «Савушкин» рассыпчатый, 5%, 350 г;16.5;5;1.5;117
Мороженое «УП Минский хладокомбинат №2» Ваверачка, ваниль и арахис, 80 г;4.3;12.9;18.4;206.9
Творог «Cream Nuvo» 9%, 380 г;15;9;1.5;150
Йогурт «Растишка» с клубникой и глазированным драже 3,0%, 115 г;3.8;3;12.5;92
Сгущенное молоко «Рогачевъ» с сахаром и натуральным кофе, 7%, 380 г;8.4;7;53.6;310
Cгущенное молоко «Рогачёвъ» частично обезжиренное с сахаром, 2.5%, 380 г;9.1;2.5;56.8;290
Творог «Беллакт» зерненый, 5%, 180 г;11.1;5;2.2;98.2
Кефир «Молочный Мир» 3,5%, 0,5 кг;3.1;3.5;4;60
Сгущенное молоко «Глубокое» с сахаром, 5%, 385 г;8.4;5;56.7;310
Йогурт «Савушкин» двухслойный, манго, 2%, 120 г;3;2;16.2;94.8
Томат желтый «Слива» 1 кг;1;0.2;3;20
Сметана «Брест-Литовск» 15%, 180 г  ;2.7;15;2.9;157.4
Сметана «Брест-Литовск» 20%, 180 г  ;2.6;20;2.9;202
Сыр мягкий «Bonfesto» Рикотта, 50%, 500 г;9;11.5;2.5;149.5
Сыр мягкий «Bonfesto» Cream Cheese, 70%, 500 г;7.1;25.7;2.1;270
Йогурт питьевой из козьего молока «КФК Дак» 3%, 500 г;2.9;3;5.1;58
Грейпфрут;0.7;0.8;14.6;72
Мороженое «Юкки» пломбир классический на сливках, 75 г;3;15;20;230
Мороженое «Юкки» пломбир шоколадный на сливках, 75 г;4;12;25;220
Молоко «Славянские традиции» ультрапастеризованное, 1.5%;3.1;1.5;4.7;45
Молоко «Славянские традиции» ультрапастеризованное, 2.5%;3.1;2.5;4.7;55
Молоко «Славянские традиции» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Творог «Беллакт» зерненый, обогащенный инулином, 5%, 380 г;11.1;5;2.2;98.2
Мороженое «Soletto» гранат и лимон, 75 г;3;10;35;240
Мороженое «УП Минский хладокомбинат №2» пломбир с ароматом ванили, 90 г;4;14.4;22.7;236.4
Сыр копченый «Сырная тарелка» чечил, палочки, 30%, 100 г;32;15;0;263
Мороженое «Нежная королева» Лакомство, пломбир с ароматом ванили, 12%, 1 кг;3.5;12;21.4;210
Творог «Савушкин» классический, 15%, 300 г;14.1;15;1.7;198.2
Кефир «Славянские традиции» 2,5%, 900 г;3.1;2.5;4;50
Шампиньоны «Грибная Страна» культивируемые, 600 г;4.3;1;0.1;27
Мороженое «Юкки» пломбир на сливках, с ароматом ванили, 220 г;3;15;20;230
Сыр мягкий «Бабушкина крынка» Адыгейский, 45%, 1 кг;16.5;18;230;/
Сметана «Остромечевские просторы» 20%, 400 г;2.5;20;2.9;201.6
Ряженка «Рогачевъ» 4%, 500 г;2.8;4;4.1;64
Сыр «President» Бри, 60%, 200 г ;17;32;0.5;360
Капуста цветная, 1 кг;0.7;0.1;2.7;13
Сыр плавленый «President» Чеддер, 40%, 150 г;12.5;17;6;277
Сыр плавленый «President» Чизбургер, 40%, 150 г;12.5;17;6;277
Сыр плавленый «Ласковое лето» сливочный, 45%, 350 г;12.2;15.6;5.3;210.4
Сыр плавленый «Ласковое лето» со вкусом и ароматом ветчины, 45%, 350 г;12.2;15.6;5;209.6
Масло сладкосливочное «Бабушкина крынка» несоленое, 82.5%, 180 г;0.65;82.5;0.8;750
Сливки «Бабушкина крынка» пастерилизованные 10%, 430 мл.;2.8;10;4;117.2
Кефир «Славянские традиции» 3,2%, 900 г;3.1;3.2;4;55
Вареное сгущенное молоко «Рогачевъ» Егорка, с сахаром, 8.5%, 360 г;7.7;8.5;54.5;330
Каша молочная «Агуша» Засыпай-ка, злаковая, груша/банан, 2.7%, 200 мл;2.8;2.7;10.1;77
Молоко детское «Рогачевъ» стерилизованное, 3.2%;3.2;3.2;4.7;60
Продукт кисломолочный «Биолакт» 3.2%, 210 г;2.9;3.2;7.8;71,6
Желе сметанное «Венский завтрак» с ванилином, 15%, 140 г;2.1;15;20.2;220
