name;protein;fats;carbohydrate;calorie
Желе сметанное «Венский завтрак» с клубникой, 15%, 140 г;2.1;15;20.2;220
Желе сметанное «Венский завтрак» шоколадное, 12%, 140 г;2.8;12;21.5;210
Кефир «Здравушка» 2.5 %, 930 г;3.1;2.5;4;50
Молочный коктейль «Вундер кини» ваниль, 2.5%, 210 г;2.9;2.5;9.5;72.1
Молочный коктейль «Вундер кини» клубника, 2.5%, 210 г;2.9;2.5;9.5;72.1
Молочный коктейль «Вундер кини» шоколадная сказка, 2.5%, 210 г;3.2;2.5;14.7;94.1
Йогурт «Растишка» с клубникой 2,6%, 70 г;3.6;2.6;12;86
Чеснок соленый «Leor» 150 г;4.5;0.3;21;100
Молоко питьевое «Belorus Export» стерилизованное, 3.2 %;3.1;3.2;4.7;60
Сгущенное молоко «Рогачевъ» частично обезжиренное, 2.5%, 360 г;9;2.5;54.5;280
Творожный десерт «Чудо» творожок взбитый, малина-ежевика, 4.2%, 100 г;4.5;4.2;17.4;125
Сыр козий «КФХ Дак» Лизаветинский, 46, 210 г;24.5;25.3;326;/
Сыр с плесенью «President» Snack a la Franc, 60%, 170 г;15;32;0.5;360
Йогурт «Савушкин» Апети, пломбир, рисовые шарики ягодные, 5%, 105 г;2.9;5;14;112.6
Сыр копченый «Джил» плавленый, 40%, 100 г;19;22;3;290
Сыр полутвердый «Брест-Литовск» Легкий, 35%, 200 г;31.2;18.2;288.6;/
Сыр полутвердый «Брест-Литовск» Классический, 45%, 200 г;26.3;26.1;340.1;/
Сыр полутвердый «Брест-Литовск» Сливочный, 50%, 200 г;22.5;29.5;355.5;/
Сыр копченый «Брест-Литовск» плавленый, 40%, 150 г;18.8;18.3;2.2;248.7
Йогурт «Беллакт» детский, малина и земляника, 3%, 100 г;2.7;3;12;85.8
Капуста квашеная «Брамбо» с морковью, 450 г;2;0.1;5;30
Молочный пудинг «Ehrmann» Grand Dessert, шоколад со сливочным муссом, 5.2%, 200 г;2.7;5.2;17.6;130
Йогурт греческий «Eco Greco» 2%, 230 г;8.5;2;3.3;65
Масло сладкосливочное «Минская марка» Крестьянское, несоленое, 72.5%, 180 г;0.8;72.5;1.3;661
Масло сладкосливочное «Минская марка» несоленое, 82.5%, 180 г;0.5;82.5;0.8;750
Йогурт «СуперКид» клубника-конфеты, 103 г;3.3;2;12;79.2
Йогурт «СуперКид» ваниль-конфеты, 2%, 103 г;3.3;2;12;79.2
Редис красный;1.2;0.1;3.4;16
Йогурт греческий «Teos» злаки с клетчаткой льна, 2%, 250 г;7;2;11.3;91.2
Йогурт греческий «Teos» с черникой, 2.0%, 250 г;7;2;11.3;91.2
Молоко «Твоя кружка» ультрапастеризованное, 3.9%;3;3.9;4.7;65
Сыр «Пармезан» 6 месяцев созревания, 40%, 180 г;29;23;320;/
Мороженое «Магнат» миндаль, 73 г;4.1;20.1;29.6;322
Каша молочная «Агуша» Вставай-ка, овсяная с малиной, 2.5%, 200 мл;2.7;2.5;9.2;71
Напиток овсяный «Ne moloko» классический, 3.2%, 1 л;0.2;1.5;12;60
Напиток овсяный «Ne moloko» классический, лайт, 1.5%, 1 л;1;1.5;6.5;45
Напиток овсяный «Ne moloko» шоколадный, 1 л;1;3.2;9.5;70
Творог «Савушкин» мягкий, 5%, 200 г;8.5;5;1.6;85.4
Мороженое «Soletto» Cioccolato Mandorla, миндаль, 12%, 75 г;5;23;29;340
Сметана «Complimilk» 20%, 380 г;2.5;20;2.9;201.6
Молоко «Рогачевъ» Вкусное, пастеризованное, 1.5%;3.2;3.2;4.7;60
Мороженое «20 копеек» пломбир с ванилином, 80 г;4.2;22.2;236;/
Малина, 125 г;0.8;0.5;8.3;43.8
Сыр плавленый «Карат» сливочный, 45%, 200 г;6.3;16.2;9.7;210
Сыр плавленый «President» Чеддер, 45%, 140 г;7.2;17;3.5;196
Молоко «Молочный мир» ультрапастерилизованное, 1.5%;3.2;1.5;4.7;45
Йогуртный продукт «Нежный» легкий с бананом и клубникой, 0.1%, 95 г;2.5;0.1;16;75
Молоко детское «Бабушкина крынка» Витаминка, стерилизованное, 3.2%;2.8;3.2;4.7;60
Сыр плавленый «Ласковое лето» Янтарь, пастообразный, 60%, 170 г;10.8;28.8;2.9;314
Сыр плавленый «Ласковое лето» Дружба, пастообразный, 170 г;11.9;26.2;4.2;300.2
Мороженое «Юкки Трио» ваниль, шоколад, клубника, 65 г;3.5;9.5;21;180
Напиток кисломолочный «Имунеле» клубничное мороженое, 1.5%, 100 г;2.5;1.5;12.1;72
Молоко «Молочный гостинец» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Сыр твердый «Поставы городок» Голландский премиум, 45%, 180 г;24.8;25.2;326;/
Творог «Бабушкина крынка» Деревенский, 7%, 200 г;15;7;1.5;130
Творог «Бабушкина крынка» Деревенский, 5%, 200 г;15;5;1.5;110
Сыр мягкий «CooKing» Кремчиз, 70%, 2250 г;7.3;27.9;2.1;290
Сыр полутвердый «Брест-Литовск» Сливочный, 50%, 500 г;22.5;29.5;355.5;/
Сыр полутвердый «Брест-Литовск» Классический, 45%, 500 г;26.3;26.1;340,1;/
Сливки «Milkavita» ультрапастеризованные, 33%, 1000 г;2.3;33;2.3;320
Сыр с плесенью «President» Petit Brie, 60%, 125 г;17;32;1470;/
Молоко «Здравушка» пастеризованное, 3.2%;3.1;3.2;4.7;60
Яйца куриные «Молодецкие» обогащенные селеном, Д1, 10 шт;12.7;11.5;0.7;157
Персик, 500 г;0.9;0.2;10.8;53
Молоко детское «Беллакт» стерилизованное, 3.2%;3;3.2;4.7;60
Творог «Cream Nuvo» 5%, 380 г;15;5;1.5;111
Сыр творожный «Cream Nuvo» Professional, 65%, 380 г;7.3;26;3.1;275.6
Мороженое «УП Минский хладокомбинат №2» пломбир крем-брюле, 80 г;3.5;15;19.7;227.8
Продукт кисломолочный «Беллакт» 3.2%, 210 г;3;3.2;4;56.8
Бифитат, 2.5%, 500 г;3.1;2.5;4.7;55
Сыр творожный «SVEZA» прованские травы, 60%, 150 г;7.8;30;1.2;306
Сыр творожный «SVEZA» сливочный, 60%, 150 г;11;19.2;1.6;223.2
Йогурт греческий «Teos» 5%, 250 г;7;5;4.3;90.2
Сыр полутвердый «Сливочный Легкий» 30%, нарезка, 150 г;28;16;260;/
Сыр полутвёрдый «Брест-Литовск» российский, 50%, 150 г;21;28.5;340.5;/
Сыр полутвердый «Брест-Литовск» Финский, 45%, 150 г;23;24;308;/
Сыр полутвердый «Брест-Литовск» Голландский, 45%, 150 г;26.3;25.2;332;/
Сыр плавленый «Ласковое лето» Дружба, 55%, 90 г;16.4;26.4;300;/
Сыр плавленный колбасный «Ласковое лето» Минчанка, копченый, 40%, 1 кг;23;19.2;265;/
Мороженое «ТОП» соленая карамель и арахис, 250 г;4;9;24;190
Яйца куриные «Солигорская птицефабрика» Чистые, С1;12.7;11.5;0.7;157
Сыр «Пармезан Делюкс» 45%, 250 г;27;29.3;372;/
Сыр «Пармезан Делюкс» 45%, 250 г;27;29.3;372;/
Сыр плавленый «Hochland» ассорти, 45%, 150 г;14;23;3.8;279
Сырок творожный «Беллакт» сладкий, с ароматом ванили 7%, 100 г;14.5;7;19.2;197.8
Йогурт «Савушкин» страчателла, 2%, 350 г;2.9;2;158;89.6
Молочный коктейль «Чудо» клубника, 2%, 200 мл;2.8;2;9.4;67
Клубника быстрозамороженная, 1 кг;0.8;0.4;6;30.8
Напиток гречневый «Ne moloko» классический лайт, 1.5%, 1 л;1;1.5;6.5;45
Маргарин «Жировой комбинат» Саратовский, 60%, 250 г;60;540;/;2260
Масло сладкосливочное «Бабушкина крынка» несоленое, 82.5%, 180 г;0.65;82.5;0.8;750
Творожный десерт «Ляховичок» Лакомка, лимон-малина, 6%, 200 г;11;6;16;163
Сыр с плесенью «President» Camembert, 45%, 125 г;17;19.5;244;/
Яйца куриные «Солигорская птицефабрика» Молодецкие, копченые, 4 шт;13;12;0.5;157
Яйца перепелиные «Молодецкие» копченые, 20 шт;12;13;0.2;167
Сыр полутвердый «Российский новый экстра» 50%, 1 кг;24.5;28;350;/
Творог «Молочная капелька» 9%, 250 г;16;9;1.5;150,0
Йогурт «Беллакт» Sweet heart, вишня, 2.5%, 150 г;2.9;2.5;17.4;103.7
Йогурт «Беллакт» Sweet heart, клубника, 2.5%, 150 г;2.9;2.5;15.2;94.9
Йогурт «Беллакт» Sweet heart, персик, 2.5%, 150 г;2.9;2.5;18.3;107.3
Йогурт «Беллакт» Sweet heart, черника, 2.5%, 150 г;2.9;2.5;17.7;104.9
Кукуруза сахарная;4;2;16;140
Сыр «Пошехонский Традиционный» полутвердый, 1 кг;25;25.2;330;/
Сыр полутвердый «Arla Natura» сливочный, 45%, 150 г;25;26;340;/
Мороженое «20 копеек» пломбир классический с изюмом, 75 г;3.5;12.8;28.9;245
Кефир «Бабушкина крынка» 3.2%, 900 г;3.1;3.2;4;55
Сыр полутвердый «Молочный мир» Сливочный, 50%, 200 г;24.5;28;350;/
Сыр полутвердый «Молочный мир» Сметанковый, 50%, 200 г;23;28;0;340
Кефир «Молочный мир» 1.5%, 1450 г;3.1;1.5;4;40
Мороженое «Магнат» шоколадный трюфель, 72 г;4.1;18.7;33.4;323
Мороженое «Магнат» со вкусом манго и красных ягод, 74 г;4.1;16.8;34.8;310
Йогурт «Беллакт» детский, с пребиотиком, 3.2%, 100 г;2.9;3.2;6;65.3
Йогурт «Беллакт» детский, голубика, 2.9%, 100 г;2.6;2.9;9.6;75.7
Творожный десерт «Беллакт» Картошка, 10%, 100г;7.5;10;39.4;277.6
Сыр творожный «Cream Nuvo» Professional, сливочный, 65%, 200 г;7;25.7;3;271.3
Сыр творожный «SVEZA» Воздушный, сливочный, 60%, 150 г;6;20;3;216
Сыр творожный «SVEZA» Воздушный с зеленью, 60%, 150 г;6;21.5;3;229.5
Сыр творожный «SVEZA» Воздушный, с чесноком, 60%, 150 г;6;21.5;3;229.5
Творог «Савушкин» рассыпчатый,2%, 350 г;17.5;2;1.3;93.2
Сыр творожный «SVEZA» сливочный, 60%, 150 г;6;22;3;234
Сыр творожный «SVEZA» с зеленью, 60%, 150 г;6;20;3;216
Яблоко «Голден Делишес 65+»;0.26;0.18;13.8;52
Мороженое «28 копеек» пломбир, крем-брюле, 15%, 70 г;3;23.9;20.4;308
Мороженое «Гоша» сливочное, дыня-арбуз, 65 г;1.8;5.1;22.5;143
Яйца куриные «Солигорская птицефабрика» Халяль, С1;12.7;11.5;0.7;160
Кокос;3;33;15;356
Творожный десерт «СуперКид» клубнично-малиновый пломбир, 3.5%, 110 г;6;3.5;10;95.5
Творог «Савушкин» рассыпчатый, 5%, 700 г;16.5;5;1.5;117
Масло топленое «Беловежские сыры» ГХИ, 99%, 200 г;0.3;99;892;/
Масло кислосливочное «President» несоленое, 82%, 180 г;0.6;82;0.3;742
Сыр творожный «SVEZA» Воздушный, грибы, 60%, 150 г;6;19.5;3.5;213.5
Молоко «Milkavita» Latte Barista, ультрапастеризованное, 3.2%;3.2;3.2;4.7;60
Сыр «Cheddar Red» 50%, 180 г;23;29;353;/
Сыр «Пошехонский особый» 45%, 200 г;23.9;24.8;319;/
Сыр «Пошехонский особый» 45%, 180 г;23.9;24.8;0;319
Сыр плавленый «Hochland» сливочный, 45%, 150 г;14.2;23.2;0;286
Творог «Молочный мир» Городень, 5%, 180 г;19;5;1.5;130
Йогурт питьевой «Савушкин» вишня-черешня, 2%, 415 г;2.9;2;11;73.6
Творог «Савушкин» зерненый, 5%, 200 г;10;5;2.8;96.2
Творог «Молочные горки» 2%, 180 г;16;2;1.3;85
Сыр полутвердый «Bonfesto» Mozzarella Pizza, 40%, 250 г;26.3;21.3;300;/
Сыр «Cheddar Red» 50%, 200 г;23;29;353;/
Сыр «Сметанковый» 45%, 180 г;23.5;25.2;321;/
Молоко «Савушкин» ультрапастеризованное, 1.5%;3;1.5;4.7;44.3
Сырок творожный глазированный «Тимоша» брауни, на печенье, 23%, 65 г;5.8;24.5;40.5;405.7
Арбуз, 1 кг;0.6;0.2;8;30
Кофейно-молочный напиток «Молочный мир» Coffe Break, Cappuccino, 1.3%, 280 г;2.7;1.3;11.7;65
Кофейно-молочный напиток «Молочный мир» Coffe Break, Latte, 1.3%, 280 г;2.7;1.3;11.7;70
Яйца перепелиные «Солигорская птицефабрика» вареные в маринаде, 150 г;12.8;13.1;0.8;170
Сырок творожный «Молочный мир» варенная сгущенка, 5%, 90 г;12;5;20;170
Сырок творожный «Молочный мир» с изюмом, 5%, 90 г;13;5;19;170
Сырок творожный «Молочный мир» с ароматом ванили, 5%, 90 г;13;5;15;160
Творожный десерт «Buonissimo» Тирамису с шоколадом, 150 г;5;12;24;220
Напиток кисломолочный «Exponenta High-Pro» натуральный, 250 г;12;0;2.5;60
Напиток кисломолочный «Exponenta» High-pro дыня, 250 г;12;0;2.5;60
Напиток кисломолочный «Exponenta» High-pro клубника-арбуз, 250 г;12;0;2.5;60
Молоко «Минская марка» стерилизованное, 1.5%;3.1;1.5;4.7;45
Молоко «Минская марка» стерилизованное, 3.2%;3.1;3.2;4.7;60
Сметана «Минская марка» 15%, 380 г;2.6;15;2.9;160
Кефир «Савушкин» с пробиотиком и лактулозой, 1.5%, 415 г;3;1.5;4;41.5
Творог «Ляховичок» 9%, 200 г;15;9;1.5;147
Йогурт греческий «Teos» грецкий орех и мед, 2%, 140 г;7;2;11.3;91.2
Йогурт греческий «Teos» грецкий орех и мед, 2%, 250 г;7;2;11.3;91.2
Йогурт греческий «Teos» манго-чиа, 2%, 140 г;7;2;11.3;91.2
Сыр с голубой плесенью «Templier» 55%, 1 кг;20;30;350;/
Сыр с голубой плесенью «Молодея» Рокфорти, 55%, 1 кг;20;30;350;/
Сыр с голубой плесенью «Молодея» Рокфорти, 55%, 1 кг;20;30;350;/
Облепиха быстрозамороженная, 1 кг;0.9;2.5;2.9;11.6
Банан;1.5;0.5;21;89
Молочный десерт «Kinder Молочный Ломтик» пирожное молочный ломтик, 28 г;7.9;34;27.9;422
Творожный десерт «Минская марка» Снежок, с маком и желатинками, 7%, 400 г;13.1;7;13.9;170
Сметана «Ляховичок» 15%, 400 г;2.6;15;2.9;157
Сметана «Ляховичок» 15%, 350 г;2.6;15;2.9;157
Йогурт термостатный «Сарафаново» 1.5%, 125 г;3.6;1.5;5.2;48.7
Сливки «Молочный мир» стерилизованные, 10%, 500 г;2.8;10;4;117
Творог «Ляховичок» 5%, 200 г;15;5;1.5;111
Молочный коктейль «Депи» клубника, 2.5%, 200 мл;2.8;2.5;11.9;80
Молочный коктейль «Депи» шоколад, 2.5% 200 мл;2.8;2.5;11;80
Творожный десерт «Савушкин» Воздушный, манго, 3.5%, 100 г;6;3.5;13;107.5
Творожный десерт «Савушкин» Воздушный, черника-ежевика, 3.5%, 100 г;6;3.5;13;107.5
Молочный пудинг «Чудо» шоколадный, 3.1%, 125 г;2.9;3.1;16.6;106
Молочный пудинг «Чудо» со вкусом карамели, 3%, 125 г;2.5;3;12;85
Масло кислосливочное «President» несоленое, 82%, 360 г;0.6;82;0.3;742
Сыр полутвердый «Сулугуни» 40%, 1 кг;24;21.4;290;/
Сыр полутвердый «Басни о сыре» Сулугуни, 40%, 200 г;24;21.4;290;/
Сыр полутвердый «Поставский» Сливочный, 50%, 150 г;24.8;28;351.2;/
Сыр твердый «Поставы городок» Пармезан гранд, 45%, 180 г;25;25.7;331;/
Йогуртный продукт «Нежный» сливочный с клубникой, 5%, 100 г;2.4;5;16;120
Йогуртный продукт «Нежный» сливочный с персиком, 5%, 100 г;2.4;5;16;120
Молочный пудинг «Ehrmann» Grand Dessert, соленая карамель, 4.7%, 200 г;2.6;4.7;18.4;130
Масло сладкосливочное «Ляховичок» несоленое, 82.5%, 180 г;0.5;82.5;0.8;747.7
Сметана «Ляховичок» 20%, 400 г;2.5;20;2.9;201.6
Молоко «Молочный мир» ультрапастеризованное, 2.5%;3.1;2.5;4.7;55
Молоко «Молочный мир» ультрапастеризованное, 3.2%;3;3.2;4.7;60
Сливки «Молочный мир» стерилизованные, 20%, 500 г;2.5;20;3.7;200
Сыр полутвердый «Landers» Моцарелла Голд, 40%, 400 г;24;18;260;/1070
Сыр «Моцарелла Голд» 40%, 260 г;24;18;260;/1070
Мороженое «20 копеек» с арахисом, 75 г;4.9;16.3;24.8;265
Кефир «Молочный мир» 2.5%, 1450 г;2.8;2.5;4;50
Ряженка «Беллакт» 4%, 380 г;2.8;4;4.1;63.6
Сыр полутвердый «Брест-Литовск» Тильзитер, 45%, 200 г;26.1;25.6;334.8;/
Йогурт «Yoguru» без консерванов, 1.5%, 125 г;3.7;1.5;5;50
Йогурт «Yoguru» без консервантов, персик, 2.5%, 125 г;3.3;2.5;15.5;100
Йогурт «Yoguru» без консервантов, черника, 2.5%, 125 г;3.3;2.5;15.5;100
Масло сладкосливочное «Бабушкина крынка» Росинка, соленое, 80%, 180 г;0.5;80;0.9;725.9
Сыр полутвердый «Брест-Литовск» Финский, 45%, 200 г;23;24;308;/
Сыр полутвердый «Брест-Литовск» Российский, 50%, 200 г;21;28.5;340.5;/
Ряженка «Брест-Литовск» 3.6%, 950 г;2.9;3.6;4.1;60.4
Йогурт питьевой «Савушкин» лесная ягода, 2%, 930 г;2.9;2;11;73.6
Йогурт питьевой «Савушкин» ананас-дыня, 2%, 930 г;2.9;2;11;73.6
Сыр полутвердый «Брест-Литовск» Голландский, 45%, 200 г;26.3;25.2;332;/
Масло сладкосливочное «Ляховичок» несоленое, 82.5%, 360 г;0.5;82.5;0.8;747.7
Масло сливочное «Поставы городок» 82.5%, 180 г;0.5;82.5;0.8;748
Масло сливочное «Ясь Белоус» несоленое, 82.5%, 180 г;0.5;82.5;0.8;750
Йогурт «Растишка» с малиной и бананом 2,6%, 70 г;3.6;2.6;10.7;81
Йогурт «Yoguru» без консервантов, вишня, 2.5%, 125 г;3.3;2.5;15.5;100
Ряженка «Савушкин» печеное яблоко-корица, 2%, 420 г;2.8;2;9.1;65.6
Напиток «Лёгкая цена» сыворотка с соком, лимон-лайм, 950 мл;0.3;9.8;40;/
Кефир «Савушкин» с огурцом и укропом, 1.5%, 415 г;2.8;1.5;4.3;41.9
Напиток кисломолочный «Exponenta High-Pro» черника-земляника, 250 г;12;0;2.5;60
Творожный десерт «Беллакт» пирожное, вафля и вареная сгущенка, 23%, 100 г;6.8;22.5;41.2;394.5
Творожный десерт «Беллакт» пирожное, вафля и черника, 23%, 100 г;5.8;21.5;41.7;383.5
Творожный десерт «Беллакт» пирожное, шоколадная вафля и кокос, 23%, 100 г;6.9;29.5;38.4;446.7
Напиток кисломолочный «Exponenta High-Pro» кокос-миндаль, 250 г;12;0;2.5;60
Мороженое «Soletto» лаванда-черника, 75 г;4;10;35;250
Творожный десерт «Беллакт» пирожное, шоколадная вафля и фундук, 23%, 100 г;7.2;29.9;38.6;452.3
Йогурт «Yoguru» без консервантов, клубника, 2.5%, 125 г;3.3;2.5;15.5;100
Шампиньоны «Грибная Страна» Королевские, культивируемые, 400 г;4.3;1;0.1;27
Творожный десерт «Молочный мир» Гродненский» с маком и желе, 9%, 1 кг;8;8;23;200
Напиток сывороточный «Савушкин» Свежесть, с соком апельсина, 850 г;0.4;10.9;45.2;/
Напиток сывороточный «Савушкин» Свежесть, с соком яблоко-гранат-лайма, 850 г;0.4;12;49.6;/
Напиток сывороточный «Савушкин» Свежесть, с основой ананас-кокос, 850 г;0.4;11;45.6;/
Напиток сывороточный «Савушкин» Свежесть, с соком тропических фруктов, 850 г;0.4;10.9;45.2;/
Сыр мягкий «Galbani» Буррата с трюфелем, 50%, 200 г;16;18;1;230
Сметана «Молочный мир» 22%, 480 г;2.6;22;2.9;220
Сливки «Milkavita» Latte Barista, ультрапастеризованные, 10%, 500 г;2.6;10;4.3;120
Молоко топлёное «Молочный мир» 3.2%;3;3.2;4.7;60
Творог «Малочны фальварак» 5%, 200 г;19;5;1.5;130
Кокосовое молоко «Mikado» 7%, 400 мл;1;6;2;66
Мороженое «20 копеек» пломбир с изюмом, 90 г;3.7;12.9;27.4;241
Творог «Ясь Белоус» классический, 9%, 400 г;15;9;1.5;147
Мороженое «Bahroma» сливочное в шоколаде, вишневый Маффин, 75 г;4.2;15.7;31.1;280
Мороженое «УП Минский хладокомбинат №2» Каштан шоколадный, 80 г;3.1;24.1;18.8;304.5
Сыр мягкий «Galbani» Буррата, 50%, 200 г;16;18;1;230
Сыр мягкий «Galbani» Страчателла, 52%, 250 г;12;20;4;244
Козье молоко «Беллакт» стерилизованное, 2.5-4%, 200 мл;3.4;4;4.8;55.3-66
Мороженое молочное «Юкки» Bubble Boom, с ароматом жевательной резинки, 50 г;3.5;6.5;21;160
Йогуртный коктейль «Даниссимо» вкус сорбет черн. cмородины 2,7%, 190 г;2.7;2.7;12.6;86
Сыр полутвердый «Верхний луг» Сулугуни, 40%, 240 г;16.7;18.8;236;/
Айран «Твой день» 0.9%, 1 л;1.4;1.7;1;28
Сырок творожный глазированный «Савушкин» трюфель, 23%, 40 г;4.8;26.2;26;359
Сырок творожный глазированный «Савушкин» Коровка, 23%, 40 г;5.6;25.6;28.8;368
Лимон розовый;1.1;6.2;9.3;31
Йогурт питьевой «Оптималь» черника-злаки, 2%, 415 г;2.9;2;11;73.6
Творожный десерт «Рецепты лучших кофеен» пирожное вареная сгущенка, 100 г;6.4;19.9;42.3;373.9
Творожный десерт «Рецепты лучших кофеен» пирожное на мягкой вафле с клубникой, 100 г;5.3;18.5;44.6;366.1
Сырок творожный «Савушкин» с изюмом и ароматом ванили, 9%, 100 г;10;9;20;201
Сырок творожный «Савушкин» с ароматом ванили, 9%, 100 г;10;9;17;189
Сырок творожный глазированный «А.Ростагрокомплекс» с фисташками, 26%, 50 г;8.6;28;30.9;430.9
Сыр мягкий «SVEZA» брынза, 45%, 200 г;19.7;20.3;261.5;/
Сыр творожный «SVEZA» сливочный, 50%, 250 г;10;16.5;1.6;194.9
Сыр мягкий «SVEZA» фета рассольный, 45%, 200 г;15;18.5;226.5;/
Сыр копченый «Ласковое лето» Минчанка, плавленый, 40%, 300 г;23;19.2;0;265
Сыр мягкий «Bonfesto» сливочный, 70%, 500 г;4.5;19;190;/
Продукт кисломолочный «Биолакт» голубика, 2.9%, 210 г;2.8;2.9;8.7;72.1
Сливки «Беллакт» стерилизованные, 33%, 200 г;2;33;3.3;318,2
Микрозелень «Green Place» подсолнечник, 50 г;2;4;2;45
Рукола «Green Place» 100 г;2.6;0.7;2.1;25
Салат «Green Place» Ромен, 100 г;1.7;0.4;1.8;15
Фруктовый лед «Топ» арбуз, 70 г;23;90;/;390
Фруктовый лед «Топ» каламанси, 70 г;22;90;/;370
Йогурт питьевой «Оптималь» манго-ананас, 2%, 415 г;2.9;2;11;73.6
Йогурт питьевой «Оптималь» инжир-злаки, 2%, 415 г;2.9;2;11;73.6
Молоко «#Можно» безлактозное, 3.2%;3.1;3.2;4.7;60
Трубочки для молока «Lari» ириска-барбариска, 30 г;96.75;373.7;/;1564.3
Трубочки для молока «Lari» радужный микс, 30 г;95.75;373.7;/;1564.3
Трубочки для молока «Lari» экзотик, 30 г;96.75;373.7;/;1564.3
Кисломолочный бионапиток «Активил» банан, 2%, 500 г;2.1;2;9;62.4
Кисломолочный бионапиток «Активил» персик, 2%, 500 г;2.1;2;9;62.4
Кисломолочный бионапиток «Активил» клубника, 2%, 500 г;2.1;2;9;62.4
Кисломолочный бионапиток «Активил» лесные ягоды, 2%, 500 г;2.1;2;9;62.4
Йогурт питьевой «Ласковое лето» персик, 1%, 900 г;2.9;1;11.5;66.6
Йогурт питьевой «Ласковое лето» клубника, 1%, 900 г;2.9;1;11.5;66.6
Десерт «Беллакт» Шоколадная колбаса, 25%, 300 г;5.7;25;48;439.8
Йогурт из козьего молока «Крестьянское фермерское хозяйство Дак» с черникой 3.0 - 4.5%, 250 г;2.9;4.5;6.6;63-77
Йогурт из козьего молока «Крестьянское фермерское хозяйство Дак» с черной смородиной 3.0 -4.5%, 250 г;2.9;4.5;6.6;63-77
Йогурт из козьего молока «Крестьянское фермерское хозяйство Дак» с вишнёвым вареньем 3.0-4.5%, 250 г;2.9;4.5;6.6;63-77
Сливки «Молочный мир» 33%, стерилизованные, 500 г;2.3;33;3.3;320
Мороженое «Бабушкина крынка» Luxury, крем-брюле, 15%, 500 г;3.2;15.3;15.1;210
Мороженое «Бабушкина крынка» Luxury, с какао, 15%, 900 г;3.5;15.5;18.9;230
Мороженое «Бабушкина крынка» Luxury, крем-брюле, 15%, 900 г;3.2;15.3;15.1;210
Молоко сгущенное «Черри-бренди» Вишневая сгущенка, 8.5%, 380 г;7.2;8.5;56;330
Кефир «#Можно» без лактозы, 3.2%, 930 г;3.1;3.2;4;55
Питьевой йогурт «Растишка» с персиком и бананом 1,6%, 360 г;2.8;1.6;10.7;68
Йогурт питьевой «Ласковое лето» клубника, 1%, 415 г;2.9;1;11.5;66.6
Сметана «Сафийка» 15%, 400 г;2.6;15;2.9;157
Молоко «Минская марка» ультрапастеризованное, 2.5%;3.1;2.5;4.7;55
Сыр творожный «SVEZA» прованские травы, 50%, 250 г;10;16.5;1.6;194.9
Молоко «Рогачевъ» стерилизованное, 1.5%, 1 л;3.2;3.2;4.7;60
Молоко «Минская марка» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Масло сливочное «Поставы городок» Крестьянское, несоленое, 72.5%, 180 г;0.8;72.5;1.3;661
Набор зелени «Экофол» 100 г;2.3;0.6;5.1;30.6
